University,Faculty Name,Title,Email,Phone,Profile URL,Source URL,Notes
Indiana University,Wayne Wallace,Professor of Practice (Jazz Studies and Jazz Trombone),,,https://music.indiana.edu/faculty/current/wallace-wayne.html,URL not logged,Jazz Studies and Jazz Trombone specialist
Indiana University,Denson Paul Pollard,Professor of Music (Bass Trombone),,,https://music.indiana.edu/faculty/current/pollard-denson-paul.html,URL not logged,Faculty since 2017; bass/tenor trombonist/bass trumpeter
Liberty University,Dr. Kevin Chiarizzio,Associate Professor of Music Education Brass,,,(434) 592-6568,URL not logged,https://www.liberty.edu/music/faculty/kevin-chiarizzio/
Manhattan School of Music,Haim Avitsur,College Faculty,,,https://www.msmnyc.edu/faculty/haim-avitsur/,URL not logged,Classical Brass: Trombone
Manhattan School of Music,Per Brevig,College Faculty,,,https://www.msmnyc.edu/faculty/per-brevig/,URL not logged,Classical Brass: Trombone - Orchestral Performance Program
Manhattan School of Music,George Curran,College Faculty,,,https://www.msmnyc.edu/faculty/george-curran/,URL not logged,Classical Brass: Bass Trombone - Orchestral Performance Program
Manhattan School of Music,Sasha Romero,College Faculty,,,https://www.msmnyc.edu/faculty/sasha-romero/,URL not logged,Classical Brass: Trombone
Manhattan School of Music,David Taylor,College Faculty,,,https://www.msmnyc.edu/faculty/dave-taylor/,URL not logged,Classical Brass: Bass Trombone - Chamber Music - Jazz Arts: Trombone
Manhattan School of Music,Colin Williams,College Faculty,,,https://www.msmnyc.edu/faculty/colin-williams/,URL not logged,Classical Brass: Trombone - Orchestral Performance Program
Mannes College of Music,Demian Austin,Trombone - Major Lessons,,,https://www.newschool.edu/mannes/faculty/demian-austin/,URL not logged,
Mannes College of Music,Sasha Romero,Trombone - Major Lessons,,,https://www.newschool.edu/mannes/faculty/sasha-romero/,URL not logged,
Mannes College of Music,Jack Schatz,Trombone - Major Lessons,,,https://www.newschool.edu/mannes/faculty/jack-schatz/,URL not logged,
Mannes College of Music,Nicholas Schwartz,Trombone - Major Lessons,,,https://www.newschool.edu/mannes/faculty/nicholas-schwartz/,URL not logged,
Mannes College of Music,David Taylor,Trombone - Major Lessons,,,https://www.newschool.edu/mannes/faculty/david-taylor/,URL not logged,
New Jersey City University,Robert Edwards,Applied Trombone and Arranging Faculty,,,https://www.njcu.edu/academics/schools-colleges/william-j-maxwell-college-arts-sciences/departments/music-dance-and-theatre/jazz-studies/jazz-studies-faculty-profiles,URL not logged,Jazz trombonist and educator
Northern Illinois University,Tom Garling,Trombone Jazz Studies,,,https://www.niu.edu/music/faculty/garling.shtml,URL not logged,Trombone and Jazz Studies faculty
Northern Illinois University,Andrew Glendening,Director of the School of Music Trombone,,,https://www.niu.edu/music/faculty/glendening.shtml,URL not logged,Director of School of Music and Trombone faculty
Northern Illinois University,Timothy Riordan,Trombone,,,https://www.niu.edu/music/faculty/riordan.shtml,URL not logged,Trombone faculty
Northwestern University,Reed Capshaw,Trombone Choir,,,https://www.music.northwestern.edu/faculty/profile/reed-capshaw,URL not logged,
Northwestern University,Randall Hawes,Trombone,,,https://www.music.northwestern.edu/faculty/profile/randall-hawes,URL not logged,
Northwestern University,Michael Mulcahy,Trombone,,,https://www.music.northwestern.edu/faculty/profile/michael-mulcahy,URL not logged,
Northwestern University,R. Douglas Wright,Trombone,,,https://www.music.northwestern.edu/faculty/profile/r-douglas-wright,URL not logged,
Peabody Conservatory,David Murray,Lecturer,,,https://peabody.jhu.edu/faculty/david-murray/,URL not logged,Second trombone of the National Symphony Orchestra
Portland State University,Li Kuang,Assistant Professor of Trombone,,,/music-theater/profile/li-kuang,URL not logged,Li Kuang is an Assistant Professor of Music at Portland State University where he serves as the trombone professor teaches music theory courses coaches chamber ensembles and directs the Portland State University Trombone Ensemble
Rice University,Allen Barnhill,Associate Professor of Trombone,,,https://music.rice.edu/faculty/allen-barnhill,URL not logged,Chair of Brass - transitioning to more focused role
San Francisco Conservatory of Music,Christopher Bassett,Trombone Faculty,,,https://www.sfcm.edu/study/majors/brass/trombone,URL not logged,Trombone faculty member
San Francisco Conservatory of Music,John Engelkes,Trombone Faculty,,,https://www.sfcm.edu/study/majors/brass/trombone,URL not logged,Trombone faculty member
San Francisco Conservatory of Music,Timothy Higgins,Trombone Faculty,,,https://www.sfcm.edu/study/majors/brass/trombone,URL not logged,Trombone faculty member - description mentions trombonist/teacher/composer
San Francisco Conservatory of Music,Paul Welcomer,Trombone Faculty,,,https://www.sfcm.edu/study/majors/brass/trombone,URL not logged,Trombone faculty member
Shepherd University,Dr. James Martin,Trombone,,,https://www.shepherd.edu/music/james-martin/,URL not logged,
Southern Methodist University,Barry Hearn,Adjunct Associate Professor of Trombone,,,https://www.smu.edu/meadows/areasofstudy/music/faculty/hearnbarry,URL not logged,
Southern Methodist University,Chris Oliver,Adjunct Associate Professor of Trombone,,,https://www.smu.edu/meadows/areasofstudy/music/faculty/oliverchris,URL not logged,
Southern Methodist University,Darren McHenry,Adjunct Assistant Professor of Bass Trombone,,,https://www.smu.edu/meadows/areasofstudy/music/faculty/mchenrydarren,URL not logged,
Stetson University,Dunwoody Mirvil,Trombone,,,https://www.stetson.edu/other/faculty/dunwoody-mirvil.php,URL not logged,Faculty Directory listing found
Texas A&M University-Commerce,Megan Boutin DMA,Assistant Professor of Music in Trombone | S.E. Shires Performing Artist,,903.886.5303,https://www.etamu.edu/people/megan-boutin/,URL not logged,Listed under School of Music faculty
The College of New Jersey,Douglas Beavers,Jazz Ensemble and Jazz Trombone,,,https://artscomm.tcnj.edu/artscomm-faculty/douglas-beavers,https://artscomm.tcnj.edu/artscomm-faculty/robert-gale/,Audio Recording and Production
The College of New Jersey,Robert Gale,Trombone and Euphonium,,,https://artscomm.tcnj.edu/artscomm-faculty/robert-gale,https://artscomm.tcnj.edu/artscomm-faculty/robert-gale/,
,,,,,,https://schoolofmusic.ucla.edu/academics/music/performance-areas/brass/trombone/,
,,,,,,https://schoolofmusic.ucla.edu/academics/music/performance-areas/brass/trombone/,
,,,,,,https://www.unitrombones.com/contact,
West Chester University of Pennsylvania,Daniel Cherry,Assistant Professor Trombone,,DCherry@wcupa.edu,https://www.wcupa.edu/music/instrumentalFaculty/dCherry.aspx,https://www.wcupa.edu/music/ensembleFaculty/pBryan.aspx,D.M.A. University of Cincinnati College-Conservatory of Music. Principal Trombonist of Huntington Symphony Orchestra. Active jazz and classical performer.
West Chester University of Pennsylvania,Paul Bryan,Instructor Ensembles and Conducting - Director of Orchestral Studies,,PBryan@wcupa.edu,https://www.wcupa.edu/music/ensembleFaculty/pBryan.aspx,https://www.wcupa.edu/music/ensembleFaculty/pBryan.aspx,BM Curtis Institute of Music MM Temple University. Studied trombone with Glenn Dodson and Eric Carlson. Former Dean at Curtis Institute of Music.
Western Connecticut State University,Dr. Luis Fernando Jiménez,Professor of Music,,jimenezf@wcsu.edu,,https://www.wcsu.edu/music/faculty/deborah-weisz/,https://www.wcsu.edu/music/faculty/luis-fernando-jimenez/
Western Connecticut State University,Ms. Deborah Weisz,Adjunct Instructor of Music,,weiszd@wcsu.edu,,https://www.wcsu.edu/music/faculty/deborah-weisz/,https://www.wcsu.edu/music/faculty/deborah-weisz/
